date,AUD,BRL,CAD,CHF,GBP,HKD,INR,JPY,KRW,MXN,NOK,NZD,SEK,SGD,ZAR
2025-03-14,0.00016292063492063494,0.0005106111111111112,0.00010613492063492063,4.638888888888889e-06,0.00017719841269841268,0.00014484126984126984,0.00029484126984126983,6.777777777777779e-06,9.801587301587303e-05,0.0003710277777777778,0.00016965079365079363,0.00014526190476190476,8.390873015873016e-05,0.00010203968253968255,0.0002900436507936508
2025-03-17,0.00016295634920634918,0.0005091706349206348,0.00010533333333333332,4.40079365079365e-06,0.00017731746031746033,0.00014484126984126984,0.0002996031746031746,8.03968253968254e-06,9.484126984126985e-05,0.0003706666666666666,0.00016964682539682543,0.00014552777777777776,8.35436507936508e-05,0.00010152777777777778,0.00028972222222222225
2025-03-18,0.00016314682539682538,0.0005076428571428572,0.00010401587301587301,2.5357142857142857e-06,0.00017726984126984128,0.00014761904761904763,0.00031428571428571427,7.130952380952381e-06,8.928571428571429e-05,0.0003740595238095238,0.00016927380952380954,0.00014585317460317463,8.547222222222223e-05,0.00010023015873015873,0.00028978968253968253
2025-03-19,0.00016263492063492064,0.0005086349206349207,0.00010356349206349207,2.6984126984126986e-06,0.00017726587301587302,0.00014563492063492063,0.0003166666666666667,6.9761904761904765e-06,8.849206349206349e-05,0.00037244047619047624,0.0001691111111111111,0.00014460714285714286,8.553968253968255e-05,0.00010211507936507938,0.00028919444444444446
2025-03-20,0.00016230555555555554,0.0005133690476190476,0.00010442460317460316,9.603174603174603e-07,0.00017786507936507937,0.00014682539682539685,0.00032619047619047623,7.142857142857143e-06,9.404761904761906e-05,0.0003711587301587301,0.000169015873015873,0.0001440436507936508,8.431349206349206e-05,0.00010551190476190477,0.0002895357142857143
2025-03-21,0.00016235714285714285,0.0005102103174603175,0.00010419047619047619,7.896825396825397e-07,0.00017805158730158733,0.00014325396825396825,0.0003412698412698412,8.555555555555556e-06,9.563492063492063e-05,0.0003715436507936508,0.00016904761904761904,0.0001424563492063492,8.401587301587301e-05,0.00010636111111111111,0.00028956349206349206
2025-03-24,0.00016266666666666667,0.00048078968253968256,0.00010378571428571429,6.944444444444446e-07,0.00017794047619047618,0.00014365079365079365,0.00035079365079365075,1.0091269841269841e-05,9.92063492063492e-05,0.0003728015873015873,0.0001689404761904762,0.00014194841269841272,8.466269841269843e-05,0.000108,0.0002884722222222222
2025-03-25,0.00016306349206349208,0.0005076468253968255,0.00010381349206349206,1.0158730158730158e-06,0.00017793650793650792,0.00014047619047619049,0.00034246031746031747,1.0511904761904763e-05,9.682539682539682e-05,0.0003712539682539683,0.0001682936507936508,0.00014073412698412696,8.388492063492065e-05,0.00011014285714285714,0.00028863095238095243
2025-03-26,0.00016351587301587298,0.0005070277777777778,0.00010326984126984127,9.087301587301588e-07,0.00017789285714285715,0.00014047619047619049,0.00032261904761904766,1.0468253968253968e-05,0.00010079365079365079,0.0003673769841269841,0.00016728968253968253,0.00013999603174603173,8.422222222222223e-05,0.00010532142857142858,0.0002887063492063492
2025-03-27,0.00016289285714285714,0.0004940912698412699,0.00010242063492063492,-9.126984126984127e-08,0.00017781349206349206,0.00013809523809523808,0.000298015873015873,1.0702380952380952e-05,9.96031746031746e-05,0.000363781746031746,0.00017094444444444446,0.0001395873015873016,8.458333333333333e-05,9.751190476190477e-05,0.00028828968253968255
2025-03-28,0.0001624642857142857,0.0004771706349206349,0.00010218650793650793,3.134920634920635e-07,0.00017728968253968253,0.0001333333333333333,0.0003051587301587302,1.1496031746031747e-05,9.801587301587303e-05,0.0003654404761904762,0.0001705,0.0001391468253968254,8.415476190476189e-05,9.387301587301587e-05,0.0002891150793650794
2025-03-31,0.00016211111111111114,0.0004935992063492064,0.00010223412698412697,1.7460317460317464e-07,0.00017708333333333335,0.00013095238095238096,0.00030079365079365084,1.0515873015873016e-05,0.0001,0.00036836507936507934,0.0001707222222222222,0.00013858730158730157,8.459523809523809e-05,9.241269841269842e-05,0.0002888015873015873
2025-04-01,0.0001628095238095238,0.0005038015873015874,0.00010140873015873015,8.373015873015873e-07,0.00017724206349206348,0.00012936507936507936,0.00030555555555555555,9.515873015873016e-06,0.00010079365079365079,0.00037002777777777777,0.00017140873015873015,0.00013690873015873015,8.474603174603175e-05,9.406349206349205e-05,0.000285968253968254
2025-04-02,0.00016335714285714285,0.0005121428571428572,0.00010054761904761905,1.8055555555555555e-06,0.00017725000000000003,0.00012698412698412698,0.0003166666666666667,9.726190476190476e-06,0.0001,0.0003740595238095238,0.00017163888888888893,0.00013605555555555555,8.494047619047618e-05,0.0001011547619047619,0.0002838174603174603
2025-04-03,0.00016321825396825397,0.0005057142857142857,0.0001013888888888889,1.1547619047619049e-06,0.00017704761904761902,0.00013015873015873015,0.0003095238095238095,8.904761904761905e-06,0.0001,0.00037064285714285715,0.00017154761904761908,0.00013478968253968253,8.442063492063493e-05,9.923015873015873e-05,0.00028208333333333335
2025-04-04,0.00016232539682539684,0.0005146309523809524,9.988492063492064e-05,8.055555555555555e-07,0.00017633333333333335,0.00013134920634920634,0.00030873015873015874,7.1746031746031745e-06,9.484126984126985e-05,0.0003706230158730159,0.00017100396825396827,0.00013476190476190475,8.421825396825398e-05,0.00010231349206349207,0.0002838214285714286
2025-04-07,0.00016369444444444442,0.0005212619047619048,9.980952380952381e-05,2.817460317460318e-07,0.00017607539682539683,0.00013452380952380953,0.0003242063492063492,5.19047619047619e-06,9.126984126984126e-05,0.0003732142857142857,0.00017191666666666668,0.0001348015873015873,8.452777777777778e-05,0.00010065873015873016,0.0002840555555555555
2025-04-08,0.00016354365079365078,0.0005147261904761904,9.84484126984127e-05,1.253968253968254e-06,0.00017592063492063493,0.00013253968253968253,0.0003107142857142857,9.226190476190477e-06,9.523809523809524e-05,0.00037592857142857144,0.0001719047619047619,0.00013497222222222223,8.46547619047619e-05,9.83611111111111e-05,0.0002841468253968254
2025-04-09,0.00016235317460317462,0.000519484126984127,9.999603174603174e-05,-9.88095238095238e-07,0.00017490476190476191,0.0001376984126984127,0.00029642857142857145,7.293650793650794e-06,9.365079365079364e-05,0.00038046428571428573,0.00017363492063492066,0.00013401587301587302,8.413492063492064e-05,9.528174603174603e-05,0.0002858928571428571
