date,Australia,Brazil,Canada,Hong Kong,India,Japan,Mexico,New Zealand,Norway,Singapore,South Africa,South Korea,Sweden,Switzerland,UK
2022-06-21,,0.1942,0.7733,,,,0.04875,,,,0.062075,,,1.04115,1.2283
2022-06-22,0.6923,0.1926,0.77275,,,0.007381,0.04906,0.6264,0.1011,,0.06235,0.0007673,0.0997,1.0486,1.2321
2022-06-23,0.6901,0.19075,0.77035,,,0.0074195,0.04909,0.626,0.1004,,0.06215,0.0007713,0.09835,1.0483,1.2281
2022-06-24,0.69105,0.18995,0.77545,,,0.007468,0.04955,0.629,0.10152,,0.062675,,0.09916,1.05385,1.2309
2022-06-26,,0.1907,0.77545,,,,0.04945,,0.1015,,0.06245,,0.09921,1.051,1.2307
2022-06-27,0.69345,0.1908,0.77645,,,0.007454,0.04937,0.63015,0.10246,,0.062575,0.0007796,0.09983,1.05265,1.2322
2022-06-28,0.6932,0.1897,0.7768,,,0.0074265,0.04892,0.62865,0.10189,,0.061875,0.0007757,0.09902,1.0512,1.2213
2022-06-29,0.69015,0.19235,0.7753,,,0.007392,0.04892,0.62525,0.10131,,0.06105,0.0007701,0.09834,1.05405,1.2138
2022-06-30,0.6893,0.18955,0.7769,,,0.007372,0.04902,0.62135,0.1014,,0.060525,,0.09793,1.05335,1.2172
2022-07-01,0.6832,0.18635,0.77575,,,0.007451,0.04869,0.61725,0.10033,,0.0602,0.0007675,0.09702,1.0446,1.2054
2022-07-05,,0.1842,0.76715,,,,0.04803,,,,0.06,,,1.0377,1.1962
2022-07-06,0.67875,0.18305,0.76685,,,0.0074345,0.04771,0.6156,0.09887,,0.05905,0.0007663,0.09496,1.0349,1.192
2022-07-07,0.68265,0.1859,0.7705,,,0.007396,0.04813,0.61795,0.0993,,0.059225,,0.09506,1.03305,1.2018
2022-07-08,0.68285,0.18865,0.77195,,,0.007406,0.04822,0.6161,0.0994,,0.059,0.000768,0.09541,1.02805,1.2046
2022-07-12,,0.1821,0.76745,,,,0.0473,,,,0.0584,,0.09484,1.02345,1.1898
2022-07-13,0.67755,0.1841,0.77065,,,0.007335,0.04764,0.6123,0.09877,,0.058825,0.0007671,0.09536,1.02785,1.1935
2022-07-14,0.676,0.18315,0.7627,,,0.0072605,0.04743,0.6125,0.09747,,0.057625,0.0007543,0.09463,1.0206,1.182
2022-07-15,0.67345,0.18425,0.7679,,,0.0072285,0.04811,0.61325,0.09835,,0.05815,0.0007559,0.09577,1.0275,1.1882
2022-07-17,,0.1844,0.7685,,,,0.04816,,,,,,0.09606,1.0299,1.1902
2022-07-18,0.68075,0.18365,0.7704,,,0.007265,0.04828,0.61585,0.09964,,0.058175,,0.09694,1.0284,1.2008
2022-07-19,0.68555,0.18385,0.7766,,,0.0072845,0.04816,0.61715,0.10112,,0.05835,,0.09823,1.03735,1.2038
2022-07-20,0.69165,0.18265,0.7762,,,0.007273,0.04814,0.62665,0.10071,,0.058075,,0.09796,1.0328,1.1995
2022-07-21,0.6914,0.18145,0.77665,,,0.0072675,0.04786,0.62315,0.10005,,0.0582,0.0007632,0.09796,1.03555,1.1972
2022-07-22,0.69115,0.18155,0.77405,,,0.0072815,0.04814,0.62155,0.10085,,0.059,0.0007633,0.0981,1.0448,1.2044
2022-07-24,,0.18175,0.77355,,,,0.04815,,0.1007,,0.058875,,0.09795,1.04235,1.2001
2022-07-25,0.6912,0.1859,0.7789,,,0.007369,0.04836,0.623,0.10165,,0.05905,,0.09835,1.04075,1.2057
2022-07-26,0.6966,0.18675,0.7758,,,0.0073465,0.04835,0.626,0.10113,,0.05865,0.0007633,0.0971,1.042,1.2039
2022-07-27,0.69415,0.19025,0.7797,,,0.0073325,0.04861,0.6235,0.1023,,0.05895,,0.0971,1.0412,1.206
2022-07-28,0.6999,0.19195,0.77995,,,0.007415,0.04878,0.6266,0.10231,,0.059925,,0.09784,1.04975,1.2143
2022-07-29,0.7009,0.1915,0.7807,,,0.0075445,0.04861,0.6308,0.10348,,0.059675,,0.0985,1.0543,1.2179
2022-07-31,,0.19145,0.78005,,,,0.0486,,,,0.059575,,,1.05355,1.218
2022-08-01,0.69925,0.1915,0.77845,,,0.0075705,0.04865,0.6297,0.1042,,0.060425,0.000767,0.09924,1.05785,1.229
2022-08-02,0.6959,0.18785,0.77665,,,0.007681,0.04768,0.63215,0.1028,,0.05985,0.0007645,0.09827,1.053,1.2228
2022-08-03,0.69355,0.18795,0.77845,,,0.0075335,0.04842,0.62525,,,0.05895,0.0007631,0.09794,1.041,1.2132
2022-08-04,0.69655,0.1901,0.77755,,,0.0074795,0.04874,0.62925,0.10273,,0.059575,,0.09878,1.0482,1.2148
2022-08-05,0.6973,0.19215,0.773,,,0.0075245,0.04861,0.62925,0.10197,,0.059325,,0.09816,1.04,1.2056
2022-08-07,,0.19265,0.7723,,,,0.04857,,,,0.059325,,0.09821,1.0424,1.2073
2022-08-08,0.69405,0.19425,0.7774,,,0.007417,0.04899,0.6239,0.10314,,0.06,0.0007693,0.09867,1.0518,1.2123
2022-08-09,0.6977,0.19375,0.7758,,,0.007427,0.04899,0.62795,0.10314,,0.059875,,0.09858,1.0525,1.2096
2022-08-10,0.6958,0.19555,0.78255,,,0.0074275,0.04955,0.629,0.10516,,0.061725,0.0007629,0.09977,1.0662,1.2267
2022-08-11,0.708,0.19285,0.78285,,,0.0075325,0.04976,0.6387,0.10553,,0.061375,0.000768,0.09972,1.0666,1.2222
2022-08-12,0.7126,0.1961,0.78275,,,0.0075275,0.05005,0.6457,0.10444,,0.061325,0.0007635,0.09818,1.063,1.2132
2022-08-16,,0.1938,0.77825,,,,0.04991,,,,0.060825,,,1.0555,1.2104
2022-08-17,0.70275,0.1928,0.7746,,,0.0074695,0.0497,0.6355,,,0.059775,0.0007612,0.09624,1.0518,1.2053
2022-08-18,0.69265,0.19265,0.7729,,,0.0074135,0.04941,0.62685,0.10322,,0.0594,0.000753,0.09574,1.0515,1.2005
2022-08-19,0.69145,0.19285,0.7693,,,0.007354,0.0493,0.6235,,,0.0586,,0.09456,1.04525,1.1817
2022-08-21,,0.19265,0.76875,,,,0.04924,,,,0.0585,,0.09451,1.0448,1.1821
2022-08-22,0.68935,0.1931,0.76625,,,0.0072985,0.04935,0.6197,0.10187,,0.058575,,0.09341,1.03795,1.1771
2022-08-23,0.68775,0.1957,0.77185,,,0.0072965,0.04979,0.6186,0.10279,,0.058775,0.0007452,0.09454,1.0415,1.1861
2022-08-24,0.6903,0.19525,0.77115,,,0.0073305,0.05003,0.6192,0.10322,,0.05885,0.0007453,0.09429,1.0371,1.1805
2022-08-25,0.6958,0.1953,0.7733,,,0.007328,0.04998,0.6217,0.10338,,0.059475,0.0007494,0.0946,1.0387,1.1817
2022-08-26,0.6957,0.19685,0.7667,,,0.0073155,0.04978,0.6201,,,0.059375,0.0007488,0.09428,1.0394,1.1784
2022-08-28,,0.1964,0.7655,,,,0.0496,,0.10192,,0.05885,,0.09344,1.0343,1.1695
2022-08-29,0.6857,0.19865,0.76855,,,0.0072125,0.04973,0.6102,0.10261,,0.059225,0.0007419,0.09375,1.0334,1.171
2022-08-30,0.69035,0.19545,0.76325,,,0.007233,0.04946,0.6145,0.10174,,0.05885,,0.09383,1.0294,1.1665
2022-08-31,0.6903,0.1908,0.7613,,,0.007234,0.04945,0.61465,0.1008,,0.058575,,0.09413,1.02795,1.1643
2022-09-01,0.68335,0.1895,0.7598,,,0.0071865,0.0494,0.6078,0.0996,,0.057725,,0.09259,1.017,1.154
2022-09-02,0.67875,0.1917,0.7609,,,0.0071355,0.04998,0.60555,0.09993,,0.05805,0.0007349,0.09345,1.0218,1.1579
2022-09-06,,0.1889,0.7599,,,,0.04955,,,,0.0577,,0.09226,1.0163,1.1513
2022-09-07,0.6715,0.1898,0.76235,,,0.0069435,0.04993,0.601,0.09958,,0.0576,,0.09297,1.02045,1.1472
2022-09-08,0.674,0.19095,0.7635,,,0.006961,0.05006,0.6049,0.0993,,0.05715,0.0007265,0.09316,1.0287,1.1496
2022-09-09,0.68265,0.1932,0.76775,,,0.0070015,0.05022,0.6104,0.10077,,0.057825,0.0007274,0.09415,1.04075,1.158
2022-09-11,,0.19325,0.7677,,,,0.05025,,,,0.057825,,,1.0427,1.162
2022-09-12,0.68435,0.1952,0.7699,,,0.006984,0.05034,0.61015,0.10151,,0.058425,0.0007271,0.09538,1.0518,1.1706
2022-09-13,0.68745,0.19185,0.7596,,,0.007027,0.04974,0.61275,0.09956,,0.057475,,0.09394,1.04135,1.1526
2022-09-14,0.6723,0.1923,0.75915,,,0.0069575,0.05006,0.60045,0.09901,,0.0568,0.0007189,0.0936,1.04105,1.1568
2022-09-18,,0.1896,0.75445,,,,0.04908,,0.09815,,0.0563,,0.09352,1.04655,1.1461
2022-09-19,0.6705,0.19315,0.7549,,,0.007048,0.04937,0.5975,0.09757,,0.056,0.0007185,0.0929,1.0439,1.1429
2022-09-20,0.6729,0.1936,0.7486,,,0.0070445,0.04923,0.59445,0.09713,,0.055975,,0.09228,1.04505,1.1429
2022-09-21,0.6683,0.1929,0.74365,,,0.0070135,0.04917,0.5891,0.09727,,0.055925,0.0007179,0.09108,1.04405,1.1354
2022-09-22,0.66125,0.1951,0.74145,,,0.0069655,0.04935,0.58285,0.09609,,0.056225,,0.09059,1.0258,1.1277
2022-09-23,0.6633,0.19015,0.7358,,,0.0070995,0.04876,0.583,0.09453,,0.0554,,0.08926,1.0278,1.0951
2022-09-25,,0.1899,0.73625,,,,0.04871,,0.09411,,0.05535,,0.08871,1.0257,1.0814
2022-09-26,0.65085,0.18565,0.72835,,,0.0070145,0.04827,0.57165,0.09361,,0.054925,0.0006938,0.08857,1.0167,1.0818
2022-09-27,0.65105,0.1858,0.7284,,,0.006987,0.04832,0.56825,0.09287,,0.055225,,0.08832,1.0179,1.0767
2022-09-28,0.63915,0.18685,0.734,,,0.006973,0.04895,0.5594,0.09286,,0.055325,0.0007022,0.08894,1.02835,1.0757
2022-10-02,,0.18725,0.7254,,,,0.04903,,0.09211,,0.054825,,0.09028,1.022,1.1141
2022-10-03,0.64335,0.1919,0.734,,,0.0069635,0.04923,0.56335,0.09331,,0.055625,0.0006935,0.09122,1.0159,1.1313
2022-10-04,0.64875,0.19225,0.7401,,,0.0069615,0.04943,0.5716,0.09507,,0.056325,,0.09239,1.02765,1.1449
2022-10-05,0.65005,0.19175,0.73485,,,0.006993,0.04919,0.5745,0.09421,,0.05555,0.0007053,0.09134,1.02215,1.1266
2022-10-06,0.6547,0.19095,0.7273,,,0.0069725,0.04905,0.5807,0.09376,,0.05555,0.0007114,0.09043,1.01855,1.1195
2022-10-07,0.64155,0.19085,0.7279,,,0.006949,0.04923,0.5668,0.09388,,0.05505,0.0007066,0.0898,1.01495,1.113
2022-10-11,,0.1888,0.7252,,,,0.04922,,0.09314,,0.0547,,0.08835,1.00925,1.0977
2022-10-12,0.6282,0.18775,0.72385,,,0.0068905,0.04942,0.5575,0.09307,,0.054375,0.0007008,0.08849,1.0092,1.1086
2022-10-13,0.6286,0.18895,0.72745,,,0.006857,0.04947,0.56105,0.09325,,0.05425,0.000695,0.08921,1.0063,1.133
2022-10-14,0.6337,0.18725,0.7206,,,0.0068305,0.04927,0.56775,0.09379,,0.05455,0.0006952,0.08884,1.0027,1.1225
2022-10-16,,0.1873,0.722,,,,0.04934,,,,0.0545,,0.08896,1.0027,1.1253
2022-10-17,0.62375,0.1881,0.7285,,,0.006771,0.04938,0.55875,0.09494,,0.0551,,0.08969,1.0099,1.1426
2022-10-18,0.63325,0.1898,0.72755,,,0.0067625,0.04935,0.567,0.09439,,0.0549,0.0007014,0.09008,1.00925,1.1306
2022-10-19,0.6321,0.1892,0.7263,,,0.0067425,0.04917,0.5701,0.09409,,0.054475,0.0006976,0.08955,1.00235,1.1256
2022-10-20,0.62635,0.1913,0.72615,,,0.0067125,0.04932,0.5627,0.09494,,0.0548,,0.08967,1.0051,1.1314
2022-10-21,0.6273,0.19395,0.7332,,,0.0066925,0.04966,0.56585,0.0947,,0.0546,0.0006975,0.08878,1.0035,1.1228
2022-10-23,,0.19395,0.73245,,,,0.04962,,,,0.055075,,,1.008,1.1355
2022-10-24,0.63555,0.18835,0.72925,,,0.006754,0.04966,0.57285,0.09522,,0.054,0.0006951,0.08956,1.005,1.131
2022-10-25,0.63335,0.18785,0.7351,,,0.0067565,0.04982,0.5724,0.09644,,0.0547,0.000701,0.09148,1.0108,1.1502
2022-10-26,0.6411,0.1857,0.73765,,,0.006793,0.04965,0.57495,0.0977,,0.055375,0.0007061,0.09236,1.0199,1.1622
2022-10-27,0.6518,0.18825,0.73795,,,0.006929,0.04995,0.58405,0.09784,,0.05555,0.0007053,0.09171,1.0172,1.1613
2022-10-31,,0.19295,0.73485,,,,0.05006,,,,0.054325,,0.09103,1.0037,1.1486
2022-11-01,0.64305,0.1941,0.734,,,0.006786,0.05024,0.5842,0.09649,,0.0545,0.0007082,0.09087,1.00485,1.147
