ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-25T23:00:35.553131951Z,2026-01-25T23:00:35.551809213Z,1,1,7311,T,B,0,52220.000000000,6,0,16123,72779,52180.000000000,52215.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:35.553131951Z,2026-01-25T23:00:35.551809213Z,1,1,7311,T,B,0,52260.000000000,1,0,16123,72779,52180.000000000,52215.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:35.553131951Z,2026-01-25T23:00:35.551809213Z,1,1,7311,T,B,0,52270.000000000,1,0,16123,72779,52180.000000000,52215.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:35.553131951Z,2026-01-25T23:00:35.551809213Z,1,1,7311,T,B,0,52275.000000000,1,0,16123,72779,52180.000000000,52215.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:35.553131951Z,2026-01-25T23:00:35.551809213Z,1,1,7311,T,B,0,52280.000000000,6,0,16123,72779,52180.000000000,52215.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:35.554049648Z,2026-01-25T23:00:35.553192281Z,1,1,7311,T,B,0,52280.000000000,1,128,13142,72789,52185.000000000,52330.000000000,6,3,4,1,NIYH6
2026-01-25T23:00:47.836859301Z,2026-01-25T23:00:47.835932961Z,1,1,7311,T,N,0,52220.000000000,1,0,13133,102522,52220.000000000,52280.000000000,5,1,4,1,NIYH6
2026-01-25T23:00:48.930445301Z,2026-01-25T23:00:48.930181657Z,1,1,7311,T,B,0,52280.000000000,1,0,12906,104906,52235.000000000,52280.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:50.257331785Z,2026-01-25T23:00:50.256030223Z,1,1,7311,T,B,0,52280.000000000,1,128,13460,110636,52245.000000000,52300.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:57.059825428Z,2026-01-25T23:00:57.058877391Z,1,1,7311,T,B,0,52320.000000000,1,0,12011,124523,52290.000000000,52320.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:57.060909320Z,2026-01-25T23:00:57.059314583Z,1,1,7311,T,B,0,52330.000000000,3,0,13405,124571,52290.000000000,52330.000000000,1,3,1,1,NIYH6
2026-01-25T23:00:57.062512006Z,2026-01-25T23:00:57.060915389Z,1,1,7311,T,B,0,52335.000000000,1,0,13171,124678,52290.000000000,52335.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:58.371445929Z,2026-01-25T23:00:58.371129919Z,1,1,7311,T,B,0,52345.000000000,1,0,13107,127077,52320.000000000,52345.000000000,3,1,3,1,NIYH6
2026-01-25T23:00:58.420816181Z,2026-01-25T23:00:58.420486569Z,1,1,7311,T,B,0,52365.000000000,1,0,13152,127118,52345.000000000,52365.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:58.422637414Z,2026-01-25T23:00:58.422332413Z,1,1,7311,T,A,0,52380.000000000,1,0,13315,127160,52380.000000000,52400.000000000,1,4,1,3,NIYH6
2026-01-25T23:00:58.422903351Z,2026-01-25T23:00:58.422664019Z,1,1,7311,T,A,0,52380.000000000,1,0,13067,127165,52380.000000000,52400.000000000,1,4,1,3,NIYH6
2026-01-25T23:00:58.826718232Z,2026-01-25T23:00:58.826408691Z,1,1,7311,T,B,0,52335.000000000,1,0,11774,127647,52285.000000000,52335.000000000,1,1,1,1,NIYH6
2026-01-25T23:01:00.155387920Z,2026-01-25T23:01:00.153955887Z,1,1,7311,T,N,0,52370.000000000,1,0,13866,130492,52290.000000000,52370.000000000,5,2,4,2,NIYH6
2026-01-25T23:01:02.688534650Z,2026-01-25T23:01:02.688195621Z,1,1,7311,T,A,0,52340.000000000,2,0,13249,149675,52340.000000000,52365.000000000,2,2,2,2,NIYH6
2026-01-25T23:01:03.021555965Z,2026-01-25T23:01:03.020608105Z,1,1,7311,T,N,0,52335.000000000,1,0,13941,150740,52335.000000000,52360.000000000,1,3,1,3,NIYH6
2026-01-25T23:01:03.022224267Z,2026-01-25T23:01:03.021582023Z,1,1,7311,T,B,0,52315.000000000,1,128,13545,150749,52305.000000000,52360.000000000,1,3,1,3,NIYH6
2026-01-25T23:01:03.258524154Z,2026-01-25T23:01:03.258251427Z,1,1,7311,T,A,0,52335.000000000,1,0,12795,151664,52335.000000000,52350.000000000,1,4,1,3,NIYH6
2026-01-25T23:01:03.258753221Z,2026-01-25T23:01:03.258534459Z,1,1,7311,T,A,0,52330.000000000,1,0,12811,151667,52330.000000000,52350.000000000,1,4,1,3,NIYH6
2026-01-25T23:01:07.548211313Z,2026-01-25T23:01:07.547968441Z,1,1,7311,T,A,0,52320.000000000,1,0,13211,163112,52320.000000000,52335.000000000,1,3,1,1,NIYH6
2026-01-25T23:01:08.413067883Z,2026-01-25T23:01:08.411830025Z,1,1,7311,T,N,0,52310.000000000,1,0,13060,164098,52310.000000000,52330.000000000,1,5,1,3,NIYH6
2026-01-25T23:01:10.120043130Z,2026-01-25T23:01:10.119816939Z,1,1,7311,T,A,0,52315.000000000,1,0,15204,168865,52315.000000000,52330.000000000,1,3,1,1,NIYH6
2026-01-25T23:01:10.187341269Z,2026-01-25T23:01:10.187155061Z,1,1,7311,T,B,0,52330.000000000,1,0,15316,168890,52285.000000000,52330.000000000,1,4,1,2,NIYH6
2026-01-25T23:01:10.258538977Z,2026-01-25T23:01:10.258318823Z,1,1,7311,T,B,0,52330.000000000,1,0,12840,168936,52285.000000000,52330.000000000,2,2,2,1,NIYH6
2026-01-25T23:01:10.311328817Z,2026-01-25T23:01:10.311118529Z,1,1,7311,T,B,0,52330.000000000,1,0,13178,169026,52285.000000000,52330.000000000,2,1,2,1,NIYH6
2026-01-25T23:01:11.097255683Z,2026-01-25T23:01:11.097059691Z,1,1,7311,T,B,0,52325.000000000,1,0,15393,171078,52285.000000000,52325.000000000,2,3,2,1,NIYH6
2026-01-25T23:01:12.314981528Z,2026-01-25T23:01:12.314777965Z,1,1,7311,T,B,0,52335.000000000,1,0,12829,175928,52295.000000000,52335.000000000,1,2,1,1,NIYH6
2026-01-25T23:01:24.982150527Z,2026-01-25T23:01:24.980985371Z,1,1,7311,T,A,0,52290.000000000,1,0,14956,216021,52290.000000000,52310.000000000,1,3,1,1,NIYH6
2026-01-25T23:01:24.982296162Z,2026-01-25T23:01:24.981016147Z,1,1,7311,T,A,0,52285.000000000,1,0,16696,216022,52285.000000000,52310.000000000,1,3,1,1,NIYH6
2026-01-25T23:01:27.870148298Z,2026-01-25T23:01:27.869950625Z,1,1,7311,T,B,0,52300.000000000,1,0,13286,223280,52275.000000000,52300.000000000,1,1,1,1,NIYH6
2026-01-25T23:01:29.623444405Z,2026-01-25T23:01:29.623099453Z,1,1,7311,T,B,0,52305.000000000,1,0,12830,228640,52280.000000000,52305.000000000,1,1,1,1,NIYH6
2026-01-25T23:01:30.027145901Z,2026-01-25T23:01:30.026039423Z,1,1,7311,T,N,0,52280.000000000,1,0,13362,229049,52280.000000000,52320.000000000,2,3,2,1,NIYH6
2026-01-25T23:01:53.199605705Z,2026-01-25T23:01:53.198280623Z,1,1,7311,T,B,0,52315.000000000,1,0,15720,246303,52285.000000000,52315.000000000,3,1,3,1,NIYH6
2026-01-25T23:01:56.578383465Z,2026-01-25T23:01:56.577446111Z,1,1,7311,T,B,0,52315.000000000,1,0,11099,252036,52285.000000000,52315.000000000,3,1,3,1,NIYH6
2026-01-25T23:01:57.555913843Z,2026-01-25T23:01:57.555718941Z,1,1,7311,T,B,0,52325.000000000,1,0,13351,253523,52285.000000000,52325.000000000,3,1,3,1,NIYH6
2026-01-25T23:02:02.886359901Z,2026-01-25T23:02:02.885536547Z,1,1,7311,T,B,0,52335.000000000,2,128,13545,259732,52330.000000000,52340.000000000,1,2,1,1,NIYH6
2026-01-25T23:02:02.886396288Z,2026-01-25T23:02:02.885543095Z,1,1,7311,T,A,0,52330.000000000,1,0,15935,259733,52330.000000000,52340.000000000,1,2,1,1,NIYH6
2026-01-25T23:02:02.886454476Z,2026-01-25T23:02:02.885647135Z,1,1,7311,T,B,0,52330.000000000,1,0,13726,259734,52325.000000000,52330.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:03.008977533Z,2026-01-25T23:02:03.008590517Z,1,1,7311,T,A,0,52340.000000000,1,0,13270,262514,52340.000000000,52360.000000000,1,4,1,2,NIYH6
